Learning Rate,No. of hidden layers,Size of each hidden layer,λ(regulariser),RMSE(train),RMSE(dev)
0.001,1,64,0,10.88567,10.68618
0.001,1,64,5,13.01675,12.87623
0.001,1,128,0,10.92115,10.72405
0.001,1,128,5,13.01864,12.87871
0.001,2,64,0,10.69024,10.51436
0.001,2,64,5,10.72307,10.53324
0.001,2,128,0,10.73965,10.56775
0.001,2,128,5,10.72659,10.53811
0.01,1,64,0,10.62076,10.42591
0.01,1,64,5,12.85733,12.71281
0.01,1,128,0,10.61527,10.42287
0.01,1,128,5,12.85733,12.71281
0.01,2,64,0,10.86648,10.66713
0.01,2,64,5,72.83952,72.75239
0.01,2,128,0,10.60706,10.43283
0.01,2,128,5,72.83981,72.75269
